Datetime,"('Adj Close', 'AAL')","('Adj Close', 'AAPL')","('Adj Close', 'AMD')","('Adj Close', 'AMZN')","('Adj Close', 'BA')","('Adj Close', 'BABA')","('Adj Close', 'BAC')","('Adj Close', 'BRK-B')","('Adj Close', 'DDOG')","('Adj Close', 'FB')","('Adj Close', 'GILD')","('Adj Close', 'HON')","('Adj Close', 'MRNA')","('Adj Close', 'MSFT')","('Adj Close', 'NIO')","('Adj Close', 'NKLA')","('Adj Close', 'PFE')","('Adj Close', 'TSLA')","('Adj Close', 'WFC')","('Adj Close', 'ZM')","('Close', 'AAL')","('Close', 'AAPL')","('Close', 'AMD')","('Close', 'AMZN')","('Close', 'BA')","('Close', 'BABA')","('Close', 'BAC')","('Close', 'BRK-B')","('Close', 'DDOG')","('Close', 'FB')","('Close', 'GILD')","('Close', 'HON')","('Close', 'MRNA')","('Close', 'MSFT')","('Close', 'NIO')","('Close', 'NKLA')","('Close', 'PFE')","('Close', 'TSLA')","('Close', 'WFC')","('Close', 'ZM')","('High', 'AAL')","('High', 'AAPL')","('High', 'AMD')","('High', 'AMZN')","('High', 'BA')","('High', 'BABA')","('High', 'BAC')","('High', 'BRK-B')","('High', 'DDOG')","('High', 'FB')","('High', 'GILD')","('High', 'HON')","('High', 'MRNA')","('High', 'MSFT')","('High', 'NIO')","('High', 'NKLA')","('High', 'PFE')","('High', 'TSLA')","('High', 'WFC')","('High', 'ZM')","('Low', 'AAL')","('Low', 'AAPL')","('Low', 'AMD')","('Low', 'AMZN')","('Low', 'BA')","('Low', 'BABA')","('Low', 'BAC')","('Low', 'BRK-B')","('Low', 'DDOG')","('Low', 'FB')","('Low', 'GILD')","('Low', 'HON')","('Low', 'MRNA')","('Low', 'MSFT')","('Low', 'NIO')","('Low', 'NKLA')","('Low', 'PFE')","('Low', 'TSLA')","('Low', 'WFC')","('Low', 'ZM')","('Open', 'AAL')","('Open', 'AAPL')","('Open', 'AMD')","('Open', 'AMZN')","('Open', 'BA')","('Open', 'BABA')","('Open', 'BAC')","('Open', 'BRK-B')","('Open', 'DDOG')","('Open', 'FB')","('Open', 'GILD')","('Open', 'HON')","('Open', 'MRNA')","('Open', 'MSFT')","('Open', 'NIO')","('Open', 'NKLA')","('Open', 'PFE')","('Open', 'TSLA')","('Open', 'WFC')","('Open', 'ZM')","('Volume', 'AAL')","('Volume', 'AAPL')","('Volume', 'AMD')","('Volume', 'AMZN')","('Volume', 'BA')","('Volume', 'BABA')","('Volume', 'BAC')","('Volume', 'BRK-B')","('Volume', 'DDOG')","('Volume', 'FB')","('Volume', 'GILD')","('Volume', 'HON')","('Volume', 'MRNA')","('Volume', 'MSFT')","('Volume', 'NIO')","('Volume', 'NKLA')","('Volume', 'PFE')","('Volume', 'TSLA')","('Volume', 'WFC')","('Volume', 'ZM')"
2020-12-14 10:20:00-05:00,17.14,122.9832,93.25,3189.5239,232.67,257.91,28.685,226.19,100.83,275.287,59.9899,216.29,157.17,215.42,40.4737,16.9927,40.155,627.015,29.23,388.5582,17.14,122.9832,93.25,3189.5239,232.67,257.91,28.685,226.19,100.83,275.287,59.9899,216.29,157.17,215.42,40.4737,16.9927,40.155,627.015,29.23,388.5582,17.269,123.03,93.43,3190.29,234.25,258.24,28.735,226.3231,101.44,275.3,60.085,216.505,158.98,215.5,40.66,17.11,40.45,628.22,29.375,389.355,17.12,122.8915,92.97,3181.3,232.5,257.82,28.68,226.0,100.76,274.65,59.96,216.21,157.0601,214.9801,40.25,16.97,40.07,621.6733,29.225,386.735,17.2621,122.93,93.17,3182.0,234.2025,257.84,28.7342,226.31,101.25,274.835,60.085,216.505,158.741,215.08,40.385,17.1,40.43,621.85,29.375,387.51,1601800,795710,687211,89925,299484,251345,306976,40130,61653,170487,158584,22689,598250,381940,3518724,239717,2180413,1189180,449607,174768
2020-12-14 10:25:00-05:00,17.195,122.91,93.12,3183.7161,232.8572,258.17,28.705,226.44,100.97,275.13,60.0,216.09,155.86,215.1,40.475,17.09,40.245,629.6299,29.275,386.8401,17.195,122.91,93.12,3183.7161,232.8572,258.17,28.705,226.44,100.97,275.13,60.0,216.09,155.86,215.1,40.475,17.09,40.245,629.6299,29.275,386.8401,17.2,123.03,93.36,3190.47,233.17,258.43,28.719,226.45,101.07,275.57,60.05,216.315,157.22,215.52,40.49,17.11,40.33,629.7773,29.29,389.5,17.12,122.82,93.0,3182.0901,232.42,257.9344,28.65,226.025,100.7701,274.9452,59.97,215.78,155.4401,214.96,40.21,16.96,40.13,624.66,29.2024,386.5179,17.1354,122.9836,93.2699,3189.8,232.6,257.9344,28.68,226.166,100.8783,275.3,59.985,216.26,157.19,215.44,40.4763,16.99,40.1522,627.17,29.23,388.81,1012099,822590,548517,60220,192200,217945,399113,42042,52046,185052,158813,23715,921658,354802,2061994,241676,1544463,1061285,343742,145995
2020-12-14 10:30:00-05:00,17.2,122.6886,92.68,3176.8999,232.435,257.7662,28.6899,226.32,100.77,274.85,60.1,216.18,153.86,214.87,40.15,17.11,40.285,628.52,29.215,385.4425,17.2,122.6886,92.68,3176.8999,232.435,257.7662,28.6899,226.32,100.77,274.85,60.1,216.18,153.86,214.87,40.15,17.11,40.285,628.52,29.215,385.4425,17.22,122.9362,93.1,3183.8867,233.0,258.295,28.72,226.5899,101.05,275.59,60.12,216.29,155.86,215.13,40.54,17.135,40.35,631.9,29.28,388.52,17.13,122.68,92.63,3176.8999,232.3,257.75,28.65,226.23,100.7258,274.85,59.98,215.83,152.5606,214.8201,40.13,17.03,40.2,628.1,29.155,385.36,17.19,122.9015,93.1,3183.405,232.9,258.18,28.705,226.44,100.92,275.12,60.0,216.11,155.805,215.09,40.475,17.09,40.245,629.49,29.275,386.82,794973,662936,706885,59596,191023,216877,438734,62129,42560,185623,181531,26514,1114254,307422,2498099,233093,1149604,1298888,562382,123311
2020-12-14 10:35:00-05:00,17.1818,122.78,92.7667,3181.0,232.5054,257.8,28.63,226.2575,101.0453,274.4799,60.06,216.03,155.4,214.89,40.6,17.08,40.2199,634.22,29.16,385.83,17.1818,122.78,92.7667,3181.0,232.5054,257.8,28.63,226.2575,101.0453,274.4799,60.06,216.03,155.4,214.89,40.6,17.08,40.2199,634.22,29.16,385.83,17.205,122.78,92.8199,3182.8306,232.6214,258.02,28.7,226.63,101.14,275.08,60.1,216.18,155.8597,215.06,40.63,17.1588,40.285,634.23,29.22,386.75,17.12,122.51,92.51,3175.6299,231.68,257.7,28.62,226.22,100.79,274.3092,60.0,215.93,153.67,214.78,40.12,17.05,40.15,628.21,29.14,384.77,17.205,122.68,92.6785,3179.1091,232.3861,257.76,28.685,226.35,100.8,274.88,60.09,216.16,153.82,214.865,40.1569,17.11,40.28,628.4821,29.215,385.62,726946,1021911,479892,38992,395108,168052,299075,58187,39720,146022,118486,16638,854791,330345,2210772,243723,1002800,1129202,338237,176982
2020-12-14 10:40:00-05:00,17.1599,122.55,92.845,3184.7192,232.34,257.46,28.615,226.045,101.9,274.28,60.015,216.165,155.8236,215.02,40.849,17.03,40.1256,637.87,29.1489,386.575,17.1599,122.55,92.845,3184.7192,232.34,257.46,28.615,226.045,101.9,274.28,60.015,216.165,155.8236,215.02,40.849,17.03,40.1256,637.87,29.1489,386.575,17.19,122.8349,92.905,3186.3701,232.81,257.85,28.655,226.29,101.92,274.58,60.07,216.18,156.28,215.075,40.88,17.0889,40.22,638.0,29.1973,387.23,17.12,122.5322,92.54,3177.147,231.8,257.33,28.6,226.02,101.05,273.79,59.96,215.95,154.23,214.845,40.5,16.97,40.12,633.1,29.1129,385.04,17.185,122.78,92.7688,3181.96,232.45,257.81,28.64,226.265,101.05,274.49,60.055,215.95,155.45,214.89,40.625,17.0762,40.218,634.24,29.16,385.835,573094,707521,449115,37771,259299,287151,348650,45412,89988,217499,137000,13596,489504,255423,2955040,201729,984616,1429092,315397,173616
2020-12-14 10:45:00-05:00,17.0159,122.6111,92.6995,3178.7151,231.25,257.1999,28.52,225.7778,101.98,273.61,60.0399,216.0,155.26,214.81,40.8369,16.96,40.1026,634.57,29.0276,387.77,17.0159,122.6111,92.6995,3178.7151,231.25,257.1999,28.52,225.7778,101.98,273.61,60.0399,216.0,155.26,214.81,40.8369,16.96,40.1026,634.57,29.0276,387.77,17.16,122.72,92.8699,3185.1787,232.4399,257.47,28.6266,226.1,102.15,274.48,60.05,216.44,155.9798,215.05,40.93,17.0599,40.16,638.5,29.16,388.5,16.96,122.49,92.4716,3178.0,231.11,256.93,28.51,225.765,101.72,273.51,59.96,215.92,154.85,214.73,40.45,16.95,40.07,633.13,29.01,386.745,17.15,122.55,92.85,3183.9099,232.36,257.46,28.615,226.1,101.9244,274.28,60.01,216.25,155.9752,215.01,40.845,17.03,40.125,637.87,29.145,386.745,2597361,925637,405557,54664,228874,451491,567533,64138,68189,156379,115550,27758,263210,296739,3729304,196864,1011284,1218327,666435,94116
2020-12-14 10:50:00-05:00,16.921,122.89,92.47,3179.3,231.61,257.122,28.5,225.8076,102.35,274.47,60.09,215.9493,155.21,214.98,40.725,16.9,40.165,635.21,28.9843,388.285,16.921,122.89,92.47,3179.3,231.61,257.122,28.5,225.8076,102.35,274.47,60.09,215.9493,155.21,214.98,40.725,16.9,40.165,635.21,28.9843,388.285,17.02,122.94,92.71,3181.9551,231.6599,257.4,28.52,225.86,102.39,274.52,60.1,215.9493,155.88,215.0,41.01,16.9804,40.17,636.0,29.03,388.6,16.88,122.61,92.3718,3178.29,230.92,257.05,28.475,225.6603,101.94,273.59,60.03,215.72,154.41,214.78,40.65,16.88,40.1,633.3,28.945,386.64,17.0102,122.6125,92.6965,3178.97,231.2595,257.2,28.51,225.794,101.985,273.61,60.04,215.935,155.2101,214.79,40.83,16.9653,40.1037,634.6,29.0271,387.8792,1811059,939159,321413,44264,205317,165920,408053,37631,74950,149387,146285,18174,315039,190282,3334524,256854,632562,822374,399524,61831
2020-12-14 10:55:00-05:00,16.88,122.8199,92.17,3173.8,230.8,256.74,28.455,225.4355,101.77,273.65,60.11,215.52,155.43,214.57,40.8999,16.815,40.24,631.48,28.9236,388.7881,16.88,122.8199,92.17,3173.8,230.8,256.74,28.455,225.4355,101.77,273.65,60.11,215.52,155.43,214.57,40.8999,16.815,40.24,631.48,28.9236,388.7881,16.98,123.11,92.54,3180.9451,231.99,257.24,28.518,225.86,102.91,274.665,60.12,216.05,155.93,215.16,41.005,16.96,40.345,637.0,29.0,390.1,16.87,122.8,92.15,3173.6799,230.73,256.62,28.44,225.3686,101.77,273.56,60.0611,215.41,155.07,214.56,40.72,16.81,40.16,631.29,28.91,388.39,16.9264,122.89,92.47,3179.5,231.6071,257.1228,28.5,225.7559,102.37,274.485,60.0999,215.9,155.32,214.98,40.727,16.89,40.165,635.2,28.985,388.39,1542281,1167120,407101,39144,261755,197608,570178,47402,129642,154423,189850,26476,207989,348255,2207855,261962,1242899,887580,409948,151093
2020-12-14 11:00:00-05:00,16.915,122.91,92.41,3176.6299,231.5494,256.895,28.422,225.31,101.81,274.26,60.175,215.185,156.91,214.85,40.93,16.825,40.14,634.01,28.8777,389.55,16.915,122.91,92.41,3176.6299,231.5494,256.895,28.422,225.31,101.81,274.26,60.175,215.185,156.91,214.85,40.93,16.825,40.14,634.01,28.8777,389.55,16.92,122.91,92.44,3178.98,231.5494,256.97,28.48,225.51,102.1,274.2799,60.175,215.64,156.91,214.85,41.06,16.85,40.245,635.225,28.93,390.0,16.83,122.67,92.15,3172.9199,230.42,256.62,28.4,225.1665,101.64,273.59,60.06,215.06,155.1,214.51,40.8,16.75,40.12,631.4945,28.86,388.6405,16.88,122.81,92.16,3173.3101,230.74,256.7401,28.455,225.44,101.885,273.66,60.11,215.49,155.4095,214.57,40.8959,16.815,40.23,631.84,28.9201,388.795,1718060,1029493,462206,44934,245591,162183,485900,41715,79103,146212,143941,16947,308034,1080281,2290861,393463,683800,757719,386851,88943
2020-12-14 11:05:00-05:00,17.0224,122.6415,92.28,3162.1001,231.93,256.336,28.385,224.81,101.64,273.52,60.09,215.145,157.4777,214.71,41.0995,16.8041,40.0878,631.08,28.885,387.61,17.0224,122.6415,92.28,3162.1001,231.93,256.336,28.385,224.81,101.64,273.52,60.09,215.145,157.4777,214.71,41.0995,16.8041,40.0878,631.08,28.885,387.61,17.05,122.9219,92.42,3176.5901,232.42,257.23,28.47,225.35,101.9,274.29,60.245,215.78,157.7,214.99,41.31,16.8399,40.19,634.36,28.97,389.8899,16.91,122.63,92.22,3161.55,231.45,256.27,28.37,224.8,101.21,273.4546,60.06,215.1,156.6,214.63,40.92,16.77,40.08,630.89,28.875,387.5701,16.9101,122.91,92.4,3176.5901,231.4995,256.88,28.43,225.33,101.81,274.28,60.17,215.19,156.92,214.86,40.925,16.8391,40.145,634.185,28.875,389.5,1681120,585866,269818,69953,287012,238675,487255,68951,130638,128964,210704,16042,461846,251109,2972832,185889,768427,561292,270762,56122
